14.11.2020(18:37:02) :: librarian@192.168.1.101:1099/JADE REGISTERED AS LIBRARIAN
14.11.2020(18:37:02) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_3@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:37:02) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_4@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:37:02) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_1@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:37:02) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_2@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:37:02) :: librarian@192.168.1.101:1099/JADE FOUND ( agent-identifier :name security_0@192.168.1.101:1099/JADE  :addresses (sequence http://ricardo-omenbyhplaptop:7778/acc ))
14.11.2020(18:37:03) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:03) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:03) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:03) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:03) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:05) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:05) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:05) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:05) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:05) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:05) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:05) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:05) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:05) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:05) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:06) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:08) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:08) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:08) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:08) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:08) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:09) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:10) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:11) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:11) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:11) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:11) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:11) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:13) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:14) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:14) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:14) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:14) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:14) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:14) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:14) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:14) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:14) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:14) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:18) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:19) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:19) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:19) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:19) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:19) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
14.11.2020(18:37:20) :: librarian@192.168.1.101:1099/JADE TABLE request accepted
